iter	Passed	Remaining
0	132	132625
1	133	66618
2	134	44635
3	135	33653
4	135	27053
5	136	22635
6	137	19483
7	137	17103
8	138	15270
9	139	13793
10	139	12584
11	140	11574
12	141	10714
13	141	9975
14	142	9337
15	142	8789
16	143	8295
17	144	7856
18	144	7466
19	145	7119
20	145	6798
21	146	6507
22	146	6243
23	147	6002
24	148	5778
25	148	5574
26	149	5382
27	149	5203
28	150	5037
29	151	4886
30	151	4741
31	152	4607
32	152	4479
33	153	4357
34	153	4245
35	154	4138
36	155	4038
37	155	3944
38	156	3855
39	157	3769
40	157	3687
41	158	3611
42	158	3534
43	159	3463
44	159	3394
45	160	3328
46	161	3266
47	161	3206
48	162	3149
49	163	3108
50	164	3057
51	165	3018
52	166	2972
53	167	2928
54	167	2883
55	168	2838
56	169	2796
57	169	2753
58	170	2715
59	170	2675
60	171	2636
61	171	2598
62	172	2562
63	172	2526
64	173	2491
65	173	2458
66	174	2426
67	174	2391
68	175	2361
69	175	2334
70	176	2305
71	176	2277
72	177	2251
73	177	2224
74	178	2199
75	178	2174
76	179	2149
77	179	2125
78	180	2102
79	180	2079
80	181	2056
81	181	2034
82	182	2014
83	183	1996
84	183	1975
85	184	1955
86	184	1934
87	184	1915
88	185	1896
89	185	1878
90	186	1860
91	186	1842
92	187	1825
93	187	1811
94	188	1795
95	189	1780
96	189	1765
97	190	1751
98	190	1738
99	191	1723
100	192	1709
101	192	1693
102	192	1679
103	193	1665
104	193	1652
105	194	1638
106	194	1625
107	195	1612
108	195	1600
109	196	1587
110	196	1575
111	197	1564
112	197	1553
113	198	1541
114	198	1530
115	199	1518
116	199	1507
117	200	1496
118	200	1485
119	201	1475
120	201	1465
121	202	1455
122	202	1443
123	202	1433
124	203	1424
125	203	1414
126	204	1406
127	204	1396
128	205	1387
129	206	1379
130	206	1371
131	207	1362
132	207	1354
133	208	1346
134	208	1338
135	209	1330
136	210	1323
137	210	1314
138	211	1307
139	211	1299
140	212	1292
141	212	1285
142	213	1277
143	213	1270
144	214	1262
145	214	1255
146	215	1248
147	215	1241
148	216	1234
149	216	1227
150	217	1220
151	217	1214
152	218	1207
153	218	1201
154	219	1195
155	219	1189
156	220	1182
157	220	1176
158	221	1170
159	221	1164
160	222	1157
161	222	1151
162	223	1145
163	223	1140
164	224	1134
165	224	1128
166	225	1123
167	225	1118
168	226	1113
169	226	1107
170	227	1102
171	227	1096
172	228	1091
173	228	1086
174	229	1081
175	230	1077
176	230	1072
177	231	1068
178	231	1063
179	232	1058
180	232	1053
181	233	1049
182	233	1044
183	234	1040
184	234	1035
185	235	1030
186	235	1025
187	236	1021
188	236	1016
189	237	1011
190	237	1007
191	238	1002
192	238	998
193	239	994
194	239	990
195	240	986
196	240	982
197	241	978
198	241	974
199	242	969
200	242	965
201	243	961
202	243	957
203	244	953
204	244	949
205	245	945
206	245	941
207	246	937
208	246	934
209	247	930
210	247	927
211	248	923
212	249	920
213	249	916
214	249	912
215	250	909
216	250	905
217	251	901
